ion,num,mass,charge,peak_MNRatio,peak_width,cutoff_bin,cutoff_height,cutoff_width
['O'],['1'],['16.0'],['1+'],16,2,0.01,1,3
['O'],['1'],['16.0'],['1+'],17,2,0.01,1,3
"['O', 'D']","['1', '1']","['16.0', '2.014']",['1-'],18,2,0.01,1,3
"['D', 'O']","['2', '1']","['2.014', '16.0']",['1+'],20,3,0.01,1,3
['Co'],['2'],['58.933'],['1+'],29.5,3,0.01,10,5
['O'],['2'],['16.0'],['1+'],32,3,0.01,5,5
"['Co', 'O']","['1', '1']","['58.933', '16.0']",['2+'],37.95,3,0.01,5,2
['Co'],['1'],['58.933'],['1+'],59,5,0.01,5,5
"['Co', 'O']","['2', '1']","['58.933', '16.0']",['2+'],67,5,0.01,5,5
"['Co', 'O']","['1', '1']","['58.933', '16.0']",['1+'],75,5,0.01,5,5
